"Item","Total","Missing","Available"
"白色染色玻璃",21239,21239,0
"白色混凝土",16795,16795,0
"漏斗",9385,9385,0
"箱子",7282,7282,0
"红石粉",7239,7239,0
"红石中继器",6824,6824,0
"侦测器",5261,5261,0
"红石比较器",5167,5167,0
"石英台阶",4436,4436,0
"蓝冰",3766,3766,0
"红石块",3286,3286,0
"红石火把",3167,3167,0
"红色混凝土",2802,2802,0
"黏性活塞",2559,2559,0
"音符盒",2059,2059,0
"动力铁轨",1771,1771,0
"白色染色玻璃板",1742,1742,0
"投掷器",1714,1714,0
"石英楼梯",1686,1686,0
"活塞",1488,1488,0
"石英块",1233,1233,0
"木桶",937,937,0
"紫色混凝土",836,836,0
"白色地毯",817,817,0
"錾制石英块",708,708,0
"粉红色带釉陶瓦",699,699,0
"海晶灯",635,635,0
"粉红色混凝土",631,631,0
"铁活板门",531,531,0
"发射器",514,514,0
"标靶",453,453,0
"管珊瑚扇",439,439,0
"浮冰",399,399,0
"黏液块",395,395,0
"炼药锅",362,362,0
"红石灯",354,354,0
"熔炉",322,322,0
"堆肥桶",318,318,0
"潜影盒",309,309,10
"粉红色地毯",296,296,0
"石头按钮",284,284,0
"石英柱",269,269,0
"淡蓝色混凝土",248,248,0
"白色带釉陶瓦",216,216,0
"脑纹珊瑚扇",205,205,0
"黄色混凝土",197,197,0
"激活铁轨",195,195,0
"南瓜灯",194,194,0
"火珊瑚扇",177,177,0
"品红色混凝土",170,170,0
"玻璃板",164,164,0
"黑曜石",135,135,0
"铁砧",129,129,0
"品红色染色玻璃",92,92,0
"橡树树叶",86,86,5
"灵魂沙",73,73,0
"荧石",64,64,0
"拉杆",56,56,0
"水桶",55,55,0
"白桦木告示牌",54,54,0
"青色混凝土",53,53,0
"末地烛",49,49,0
"蜂蜜块",46,46,0
"石头压力板",44,44,0
"鹿角珊瑚扇",43,43,0
"橡木活板门",37,37,0
"圆石墙",36,36,0
"铁轨",36,36,0
"橡木告示牌",34,34,0
"脚手架",32,32,0
"粉红色混凝土粉末",30,30,0
"气泡珊瑚扇",29,29,0
"白桦木压力板",28,28,0
"云杉木活板门",27,27,0
"线",26,26,0
"细雪桶",26,26,0
"雪",24,24,0
"蓝色混凝土",23,23,0
"橡木栅栏门",22,22,0
"海泡菜",22,22,0
"品红色陶瓦",18,18,0
"末影箱",18,18,1
"白色陶瓦",18,18,0
"粉红色陶瓦",18,18,0
"红色染色玻璃",18,18,0
"工作台",15,15,0
"橡木原木",15,15,0
"白色混凝土粉末",15,15,0
"紫色陶瓦",14,14,0
"下界岩",13,13,0
"冰",12,12,0
"青色染色玻璃",12,12,0
"信标",11,11,0
"品红色带釉陶瓦",11,11,0
"花盆",11,11,0
"酿造台",11,11,0
"重质测重压力板",11,11,0
"探测铁轨",10,10,0
"淡蓝色染色玻璃",10,10,0
"粉红色染色玻璃",10,10,0
"紫色染色玻璃",10,10,0
"蓝色染色玻璃",10,10,0
"石英砖",9,9,0
"失活的火珊瑚扇",8,8,0
"沙子",8,8,1579
"橙色混凝土",7,7,0
"灯笼",7,7,0
"草方块",7,7,1394
"金块",7,7,0
"黄绿色混凝土",7,7,0
"下界疣块",6,6,0
"丛林原木",6,6,26
"云杉原木",6,6,0
"南瓜",6,6,0
"品红色混凝土粉末",6,6,0
"品红色羊毛",6,6,0
"哭泣的黑曜石",6,6,0
"圆石",6,6,0
"安山岩",6,6,297
"平滑石头",6,6,0
"末地石",6,6,0
"棕色带釉陶瓦",6,6,0
"棕色染色玻璃",6,6,0
"棕色混凝土",6,6,0
"棕色混凝土粉末",6,6,0
"棕色羊毛",6,6,0
"棕色陶瓦",6,6,0
"橙色带釉陶瓦",6,6,0
"橙色染色玻璃",6,6,0
"橙色混凝土粉末",6,6,0
"橙色羊毛",6,6,0
"橙色陶瓦",6,6,0
"沙砾",6,6,300
"泥土",6,6,1716
"淡灰色带釉陶瓦",6,6,0
"淡灰色染色玻璃",6,6,0
"淡灰色混凝土",6,6,0
"淡灰色混凝土粉末",6,6,0
"淡灰色羊毛",6,6,0
"淡灰色陶瓦",6,6,0
"淡蓝色带釉陶瓦",6,6,0
"淡蓝色混凝土粉末",6,6,0
"淡蓝色羊毛",6,6,0
"淡蓝色陶瓦",6,6,0
"深板岩",6,6,1109
"深板岩圆石",6,6,0
"深色橡木原木",6,6,0
"灰色带釉陶瓦",6,6,0
"灰色染色玻璃",6,6,0
"灰色混凝土",6,6,0
"灰色混凝土粉末",6,6,0
"灰色羊毛",6,6,0
"灰色陶瓦",6,6,0
"煤炭块",6,6,0
"玄武岩",6,6,0
"玻璃",6,6,0
"白桦原木",6,6,0
"白色羊毛",6,6,0
"石头",6,6,175
"粉红色羊毛",6,6,0
"紫色带釉陶瓦",6,6,0
"紫色混凝土粉末",6,6,0
"紫色羊毛",6,6,0
"红沙",6,6,0
"红色带釉陶瓦",6,6,0
"红色混凝土粉末",6,6,0
"红色羊毛",6,6,0
"红色陶瓦",6,6,0
"绯红菌柄",6,6,0
"绿宝石块",6,6,0
"绿色带釉陶瓦",6,6,0
"绿色染色玻璃",6,6,0
"绿色混凝土",6,6,0
"绿色混凝土粉末",6,6,0
"绿色羊毛",6,6,0
"绿色陶瓦",6,6,0
"花岗岩",6,6,262
"苔藓块",6,6,0
"菌光体",6,6,0
"蓝色带釉陶瓦",6,6,0
"蓝色混凝土粉末",6,6,0
"蓝色羊毛",6,6,0
"蓝色陶瓦",6,6,0
"诡异疣块",6,6,0
"诡异菌柄",6,6,0
"金合欢原木",6,6,0
"铁块",6,6,0
"闪长岩",6,6,232
"陶瓦",6,6,0
"青色带釉陶瓦",6,6,0
"青色混凝土粉末",6,6,0
"青色羊毛",6,6,0
"青色陶瓦",6,6,0
"骨块",6,6,0
"黄绿色带釉陶瓦",6,6,0
"黄绿色染色玻璃",6,6,0
"黄绿色混凝土粉末",6,6,0
"黄绿色羊毛",6,6,0
"黄绿色陶瓦",6,6,0
"黄色带釉陶瓦",6,6,0
"黄色染色玻璃",6,6,0
"黄色混凝土粉末",6,6,0
"黄色羊毛",6,6,0
"黄色陶瓦",6,6,0
"黑石",6,6,0
"黑色带釉陶瓦",6,6,0
"黑色染色玻璃",6,6,0
"黑色混凝土",6,6,0
"黑色混凝土粉末",6,6,0
"黑色羊毛",6,6,0
"黑色陶瓦",6,6,0
"切石机",5,5,0
"橡木压力板",5,5,0
"白桦木栅栏门",5,5,0
"白色潜影盒",5,5,0
"磨制黑石墙",4,4,0
"绯红木压力板",4,4,0
"仙人掌",3,3,0
"缠根泥土",3,3,0
"金合欢木活板门",3,3,0
"岩浆块",2,2,0
"平滑红砂岩",2,2,0
"梯子",2,2,0
"橡木栅栏",2,2,0
"深色橡木活板门",2,2,0
"白色旗帜",2,2,0
"磨制安山岩",2,2,0
"绯红菌岩",2,2,0
"讲台",2,2,0
"诡异菌岩",2,2,0
"钟",2,2,0
"铁门",2,2,0
"TNT",1,1,0
"下界合金块",1,1,0
"下界疣",1,1,0
"下界石英矿石",1,1,0
"下界砖台阶",1,1,0
"下界砖块",1,1,0
"下界砖墙",1,1,0
"下界砖栅栏",1,1,0
"下界砖楼梯",1,1,0
"下界金矿石",1,1,0
"丛林木",1,1,0
"丛林木压力板",1,1,0
"丛林木台阶",1,1,0
"丛林木告示牌",1,1,0
"丛林木按钮",1,1,0
"丛林木板",1,1,0
"丛林木栅栏",1,1,0
"丛林木栅栏门",1,1,0
"丛林木楼梯",1,1,0
"丛林木活板门",1,1,0
"丛林树叶",1,1,0
"丛林树苗",1,1,1
"中型紫晶芽",1,1,0
"书架",1,1,0
"云杉木",1,1,0
"云杉木压力板",1,1,0
"云杉木台阶",1,1,0
"云杉木告示牌",1,1,0
"云杉木按钮",1,1,0
"云杉木板",1,1,0
"云杉木栅栏",1,1,0
"云杉木栅栏门",1,1,0
"云杉木楼梯",1,1,0
"云杉树叶",1,1,0
"云杉树苗",1,1,0
"僵尸的头",1,1,0
"凋灵骷髅头颅",1,1,0
"凝灰岩",1,1,439
"切制砂岩",1,1,0
"切制砂岩台阶",1,1,0
"切制红砂岩",1,1,0
"切制红砂岩台阶",1,1,0
"制图台",1,1,0
"制箭台",1,1,0
"去皮丛林原木",1,1,0
"去皮丛林木",1,1,0
"去皮云杉原木",1,1,0
"去皮云杉木",1,1,0
"去皮橡木",1,1,0
"去皮橡木原木",1,1,0
"去皮深色橡木",1,1,0
"去皮深色橡木原木",1,1,0
"去皮白桦原木",1,1,0
"去皮白桦木",1,1,0
"去皮绯红菌柄",1,1,0
"去皮绯红菌核",1,1,0
"去皮诡异菌柄",1,1,0
"去皮诡异菌核",1,1,0
"去皮金合欢原木",1,1,0
"去皮金合欢木",1,1,0
"品红色地毯",1,1,0
"品红色旗帜",1,1,0
"品红色染色玻璃板",1,1,0
"唱片机",1,1,0
"圆石台阶",1,1,0
"圆石楼梯",1,1,0
"大型紫晶芽",1,1,0
"失活的气泡珊瑚",1,1,0
"失活的气泡珊瑚块",1,1,0
"失活的火珊瑚",1,1,0
"失活的火珊瑚块",1,1,0
"失活的管珊瑚",1,1,0
